filename,label
audio_173,3.0
audio_138,3.0
audio_127,2.0
audio_95,2.0
audio_73,3.5
audio_34,4.0
audio_120_2,3.0
audio_224,2.0
audio_342,2.0
audio_228,2.0
audio_133,3.0
audio_223,3.0
audio_287,2.5
audio_332,2.5
audio_158,3.0
audio_91,4.0
audio_358,3.0
audio_79,4.5
audio_10,3.0
audio_78,2.0
audio_313,2.0
audio_239,3.0
audio_31,3.0
audio_74,3.5
audio_204,2.5
audio_57,3.0
audio_369,2.0
audio_194,5.0
audio_282,2.0
audio_105,3.5
audio_138_2,3.0
audio_212,3.0
audio_230,2.0
audio_16,2.5
audio_249,3.5
audio_1,3.0
audio_303,4.0
audio_317,3.0
audio_111,3.0
audio_267,3.0
audio_85,2.0
audio_221,3.0
audio_232_2,3.0
audio_372,2.0
audio_56,5.0
audio_269,3.5
audio_337,3.0
audio_359,2.5
audio_43,3.0
audio_333,5.0
audio_71,2.5
audio_40,2.5
audio_83,3.0
audio_26,2.5
audio_195,3.0
audio_156,2.5
audio_166,5.0
audio_361,3.0
audio_23,2.0
audio_234,3.0
audio_47,3.5
audio_43_2,3.0
audio_354,4.5
audio_77,2.0
audio_343,2.5
audio_58,3.0
audio_185,3.0
audio_25,2.0
audio_18,3.0
audio_168,3.0
audio_256,3.0
audio_32,3.0
audio_279,2.5
audio_102_2,3.0
audio_193,4.0
audio_362,1.0
audio_321,2.5
audio_153,4.5
audio_6,3.0
audio_46,2.5
audio_94,3.5
audio_285,3.0
audio_109,2.5
audio_240_2,2.0
audio_248,3.5
audio_176,2.0
audio_4,3.0
audio_19,4.5
audio_360_2,3.0
audio_194_2,5.0
audio_182,2.5
audio_64,2.5
audio_288,2.0
audio_102,3.0
audio_115,4.0
audio_177,3.5
audio_154_2,3.0
audio_132,2.0
audio_125,3.0
audio_226,3.0
audio_203,5.0
audio_306_2,2.5
audio_127_2,2.0
audio_263,2.0
audio_73_2,3.5
audio_76,3.0
audio_114,2.0
audio_117,2.0
audio_17,3.0
audio_67,2.5
audio_154,3.0
audio_8,2.0
audio_20,2.0
audio_141,2.0
audio_363,3.0
audio_357,2.5
audio_119,2.0
audio_109_2,2.5
audio_300,4.5
audio_238_2,2.0
audio_305,2.5
audio_61,3.5
audio_80,2.0
audio_292,2.0
audio_324,3.5
audio_262,5.0
audio_335,3.0
audio_110,4.0
audio_336_2,2.0
audio_174,3.0
audio_142,3.0
audio_319,3.0
audio_254,3.5
audio_240,2.0
audio_149,3.5
audio_251,3.0
audio_181,2.5
audio_120,3.0
audio_199,3.0
audio_209,2.0
audio_146,2.0
audio_246,3.0
audio_315,3.0
audio_37,3.0
audio_140,2.0
audio_299,3.0
audio_159,2.5
audio_302,4.0
audio_336,2.0
audio_60,2.0
audio_112,2.5
audio_169,2.5
audio_178,5.0
audio_7,3.0
audio_295,3.0
audio_281,3.0
audio_151,3.0
audio_11,3.0
