text,total_words,num_nouns,num_verbs,num_adjs,avg_word_len,label
"My favorite place to visit will be Japan, because I'm really interested in their culture. I'm really into all Japanese stuff like anime, their history, etc. So that's why my favorite place to visit. Starting the food that I would like to try, I would like to try the dishes. I would like to try the cakes that they sell that have different flavors mainly for fruits. And the season that I would like to go is during the cherry seasons when only trees have like those pink leaves. So I think that's really cool.",110,17,21,7,3.7818181818181817,3.0
"I love to reading on my hobby such reading. Emma discorded hello for reading at an English when the pages of a one-off fairy tale book transported her to a world of magic on adventure. Now with the bustling career and fast pace in life reading has become her sanctuary her way of unwinding after a long day. This reading was very inspiring to me so that I started reading by inspiring her and her collection has grown significantly over the years feeling her bookshelves with the rich, the asperi of gender ranging from mystery and science fiction to historical fiction and contemporary literature. On weekends I used to reading sessions extended to lazy afternoons in a nearby park are a quiet cave where the bagel and hum of nature are the soft to murmurs of people at say comforting soundtrack to her literacy adventures. So reading he is not only an exposed",159,41,29,12,4.459119496855346,3.0
"My favorite place to visit is Mullah Itis near Chitra district. There is a very favorite temple. In the temple, the main place is there. There is a famous Buddhist Doshya. I love Doshya very much. When I am travelling to that place, my friends are very happy with my friends. We visit so many places in that Tirumullah.",68,16,10,6,3.838235294117647,2.0
"I am going to tell about my hobby. And my hobby generally hobby is considered a regular activity that is done for enjoyment during leisure time. Hobby include themed items and objects, engaging in creative and artistic, push-wet, playing sports or doing really creative things or participating in any of the activities. I generally interested in reading books or developing fashion making it diverse and different from others. I always tend to follow trends in society and also advancing production and technology of this generation. Thank you.",96,22,19,8,4.770833333333333,2.0
"This is a tough one. So my bestie of my life is clear right now. I will see it's on the day my little Thomas Bond and my wife is going to take care of that. She only had the bestie of my life to be in our lives in the world. I think this is my life. It's my little Thomas Bond and I am just on this side to, you know, someone to the world and someone that's very clear of it and not just moving to watch the world and it's very much on my own. And I think about the days just keep me and can watch it. Yeah, is it clear? It's the bestie of my life.",139,23,23,8,3.0719424460431655,3.5
"My goal in life has always been to be the best business consultant and this was fueled when I was young growing up. There's this one time I went to the bank and I saw one bank who was sitting there and he was an amazing guy the way he dressed. He was so amazing, you know, and I loved how he looked and I said one time I want to be, you know, an accountant and I've worked very hard for me to come this far. A lot of challenges, especially financial for me to attain my education has been very hard because I come from a poor background and poor family. But obviously my children motivates me each and every day to wake up and do more and be the best rational myself and by doing so I've become the best accountant.",157,20,36,11,3.643312101910828,4.0
"I want to ride the train. However, the file is very long. There are several elders ahead of me. And then when the train comes, I step in the train slowly and let the elders move ahead of me and have to locate their sit in a proper place. I allow the elders to sit down and I find myself standing in the train. While the train is moving slowly, going to the north side of the train.",87,13,17,3,3.4942528735632186,3.0
"Can you describe to your new travel experience getting this new? Hello, we are trying to go to our province and later we are trying to do a vacation. Well, at first I am hesitant if I will go to a land travel or I should go on an airplane travel. The experience was great, the destination was beautiful. All the experiences were great because I see new people, new destinations and that is really great. There are no local food or dishes from that place. I love the foods, the foods there are easily taken.",108,19,20,11,3.8055555555555554,2.0
"Here is a summary from Friendly. The market place is a very busy place where the people go to buy articles of their needs. It is a center of an attraction both bears and shallers, a market ever to crowd the scarred causes, the monkeys and camels. They come to load it with the process of an season such as Quattam, Green, Oil, Feet, etc., vegetables, etc.",79,23,8,4,3.6582278481012658,2.0
"An airport is a bus lighting hub filled with travelers, wheeling suitcases, the sounds of announcement and the armor of coffee, bright shop, line the concoises, concoises while large window overlook planes taking off and landing and anticipation as people embark on their journeys.",50,18,8,2,4.76,2.0
"If I think of a flood, I would be thinking of a lot of houses underwater. Maybe a lot of people trying to swim to cross the different streets, dogs trying to follow their owners. Also imagine a lot of cars underwater, people trying to ask for help on their roofs. And a lot of fish swimming on the streets. I also picture different agencies trying to help.",76,17,14,5,3.8026315789473686,3.0
"For me to describe my best day of my life is going to meet my family, my friends, my children because I have two mothers and two fathers so we will be celebrating our best days at the picnic. So all of my family will be there. Help together we will celebrate our best day of my life together. So we will also bring cakes, ice cream and we will also bring some friends and family that we have not met for so long so we can get together and talk about the things that we never talk about.",106,18,17,3,3.660377358490566,3.0
"Crowded market is a glider scope of sites, sounds and smells. The air is thick with the aroma of exotic species, fresh, product, juice and street food. The air is full of all edges and backgrounds through the narrow. Allies, their faces are blurred as they are hurry to reach their destination. The colourful stalls overflow with an area of goods, pyramids, of juice, fruits, baskets of fragrance, flowers and trees of golden, pests, pests.",92,30,8,9,3.9782608695652173,2.5
"I would like to visit South Korea because I really love the place to visit once in my life and I would like to travel to Erupe because that would be my first experience. I would like to taste the local dishes in South Korea, kimchi, jjampong, sushi and many other dishes by spicy dishes. I would like to visit the country in autumn season because the flowers or the tree blossoms, cherry blossoms.",81,23,11,4,4.0,2.5
"Sister, Bert 내용ai salloyi? My favourite hobby is playing football I enjoy football so much due to the adulare, lost your gifts, the passion, the aloe, it's just a combination of share of good feelings. And yeah, I use my boots to play, my football boots, my jersey, and then I don't forget my shungard. And sometimes I put on gloves just for fancy. And yeah, I enjoy playing football in the Netherlands. I'm a striker so I play from the advantages for precision. I really love playing football.",109,26,16,5,3.7247706422018347,3.0
"So one of the best days of my life was the day I gave birth. It was a very intense difficult experience but mostly a wedding day. What made this special was the fight that I could see her and she looked so pretty. And whenever I feel about this, I feel like I haven't had any other day like this. The feeling of, you know, it was overwhelming and I feel like it was blessing.",85,10,17,5,3.5294117647058822,4.0
"The smart phone application that I used to most is TikTok. Because TikTok is helping me to gain followers and also entertainment. In TikTok also I can buy things that I need for everyday use. And TikTok is my favorite application and because I can find anything there. It's like a Google. But if you're looking for an answer for all your questions, you can see it with videos and most of the TikTokers there, they are providing the good answer for most of the questions that I'm looking for.",101,19,17,6,3.98019801980198,3.0
"The playground that I'm thinking about is a lovely, lovely place. All around the place you can see different activities in which the kids can participate. You can see some slides, you can see kids playing on the jumping rope. There are many, many, many trees around that kids can climb bone. From what I noticed, kids absolutely love climbing the trees. It looks like it can be the most popular thing to do in that. You can hear kids laughing, you can hear the parents trying to catch the kids and ask them to go home. Unfortunately the kids are not very happy to go home. You can hear the laughter and the vibe is just amazing in this.",136,24,27,7,3.801470588235294,4.5
"My favorite holiday destination is Bali, Indonesia. The island off-right is here, perfect mix of beautiful beaches, lush landscapes and rich culture. I love the seren temples, especially Olawa and Tanalore, which offers stunning sunset views. The local food is also amazing with its fresh ingredients and vibrant flavors. Bali's hospitality is something that really stands out with the locals being warm and welcoming. I enjoy the balance between adventure and relaxation there, whether it's exploring waterfalls or simply unwinding by the beach. And it's a place I always look forward to. And also I have recently went on a trip to Kerala and it was quite an amazing experience. I have visited beautiful.",132,32,22,11,4.484848484848484,3.0
"Yeah, there was a scene in the crowded market there was people buying stuff, some people buying fish, some people buying meat, and some people buying chicken. Some of them are buying just groceries like sugar, salt, pepper, some of them are buying a huge amount of money that they have when they go to a crowded market. And then in a crowded market you will see there's a lot of people and there's no...",87,20,15,4,3.781609195402299,2.0
"The atmosphere in an April is one of the most sentimental environments in the leaf of people because in an April we can observe all the feelings of human beings also from the joy of fulfilling our dreams and goals, the personal goals, lower memories, experience to the segments of knowing that a friend or family member is living in their city or country for a long time. What is surprising in this kind of situation is that a neighbor isn't trans to a new experience of learning, also to new cultures and new language experiences in our life.",106,31,10,8,4.19811320754717,2.0
My favorite hobby is reading books and I enjoy very much while reading books and I explore new things and I learn new things and my favorite hobby is reading. I love getting lost in a good book and escaping into different worlds and characters. Reading helps me to relax and I'm wind of the day and it also helps me to know about new things and expand the origin of my knowledge.,77,14,19,7,3.987012987012987,3.0
"We went to our resort last summer with my family and we did a lot of fun things. Just like go to play in the beach, swim a little bit. Also we went to some beautiful places where we noticed a lot of animals like whales, little fishes. Also we were able to go to swim with some dolphins. That was a great experience. We also went to a restaurant with their served at the Lich's food, fish, some sushi and a lot of delicious desserts.",97,22,13,8,3.577319587628866,3.0
"In a besan bustling market, vendors hog their wires, fresh fruits and vegetables pile at a high spices, waving their fragrance and colorful fabrics hanging in the air. All joist bargain over prizes while other waves through the thorns, clustering baskets and bags. Sounds of hagging mixed with the shouts of vendors, the plang of parts and pans and sizing of the street food cooking on grills. Music from the street performers adds the beauty, creating a lively atmosphere. As the day progresses, the market evolves. Learning brings a frenzy of activities as vendors set up their...",110,37,13,7,4.418181818181818,3.5
"Okay, I am in our port. I am doing the line and my sister is with me. We are waiting for our mother that is in the water right now. She came and we move ahead in our registration. Everything is fine. We took the plane and we are in the plane and we have been deciding this trip since a year ago and everything is fine. We are in the plane watching a movie and suddenly the captain said that we are arriving to",92,16,21,2,3.532608695652174,2.5
March 24 of 2023 and all of the people are busy in the preparation for the Christmas Eve for common Christmas Eve and all of them was in the market or were out or they are all at the market and since it was a it was a almost a rush hour all of them was crowded all of them were busy buying fruits and some foods that they were gonna cook for the Christmas Eve,77,16,11,4,3.688311688311688,3.0
"My favorite sports in Kiket, my favorite sports in Kiket, we have a lot of famous two Kiket and sports, we will be too great that many people have, we have the centuries and Kiket to be well played and energetic, and fully energy and healthy. So many programs, we have the conduct all about the Kiket and Kiket watching to this work up on so many because to show people's of the anxiety to teams to provide it to energy and good scores, everybody to take it to all favorite sports. Thank you.",105,24,11,11,3.8,2.0
"Let's see, I'm an Eastern market. The place is crowded, the selling everything from clothing to jewelry to shoes, the street vendors here, the selling hot dogs, hamburgers, sliders, fish sandwiches, Mexican food, and Chinese food. It's pretty loud here, so I have to lay talk over the mic. In the morning, it's a pretty lack throughout mostly old people looking for some great deals, and then the transitions into the evening, you get more of the urban crowd, single mom, kids, teenagers. And then by night, you get the routier bunch, the people coming home from the bar, who just want to eat some of this delicious street food. I don't know, I would say that the Eastern market is a very good market, and you should come here when you get the chance.",167,38,23,15,3.694610778443114,5.0
"When I was going in Delhi airport, there are so many planes and airport terminal is a busy place with many people arriving and departing. Persinger had to waiting an area dead, quiet view of Ranvesh. There are a lot of people who can buy ticket from the counter and boarding pass. Some planes are ready to move and some planes are not ready to move but the view of Delhi airport was very beautiful.",81,21,16,8,4.0,2.0
"I recently stayed at the Luxurious, Hordesort, National at a pre-stine beach phone. The restaurant feature, stunning ocean views from my sister's room, which was elegantly furnished and equipped with all modern elementaries. Each morning, we began with a coordinate, break-pushed buffer offering a variety of local and international cousins. Days were filled with activities such as gnarling, parrot-liding and lownling by the Infinity Pool, the restaurant provided and hostages of Lexations with its range of treatments including facial massage, perfect for unwinding, afternoon-day in this unevening world, equally delightful with fine dining options.",110,32,11,14,5.090909090909091,3.5
